,username,name,likes_count,urls,mentions,tweet,photos,replies_count,retweets_count,link,quote_url,video,new_date,new_time,hashtag,hashtag_count,Categories
28,abangali08_,KangCendol08_,0,[],[],#WelcomeBackIBHRS #WelcomeBackHRS,[],0,0,https://twitter.com/abangali08_/status/1326141617166667779,https://twitter.com/ustadzmaaher_/status/1326128494087081985,0,2020-11-10 00:00:00,19:36:14,"['welcomebackibhrs', 'welcomebackhrs']",2,Buzzer
29,tariqbinziyadh,#BlokirBangsatBangsa,1,[],"[{'screen_name': 'mohmahfudmd', 'name': 'mahfud md', 'id': '282006208'}]",Tag lagi donk @mohmahfudmd   #WelcomeHomeHRS #WelcomeBackHRS #WelcomeBackIBHRS,[],0,0,https://twitter.com/tariqbinziyadh/status/1326139486477037568,https://twitter.com/NurlelySiregar/status/1325994561701732352,0,2020-11-10 00:00:00,19:27:46,"['welcomehomehrs', 'welcomebackhrs', 'welcomebackibhrs']",3,Buzzer
30,tariqbinziyadh,#BlokirBangsatBangsa,0,[],[],Pantes kaga muncul2 #WelcomeHomeHRS #WelcomeBackHRS,[],0,0,https://twitter.com/tariqbinziyadh/status/1326137290616270848,https://twitter.com/DukeCondet/status/1325949858730045440,0,2020-11-10 00:00:00,19:19:03,"['welcomehomehrs', 'welcomebackhrs']",2,Buzzer
31,dianaheartily,Diana Zahra Badar,1,[],[],@SaveMoslem1 @padmaraga_ #WelcomeBackHRS,[],0,0,https://twitter.com/DianaHeartily/status/1326136038767554565,,0,2020-11-10 00:00:00,19:14:04,['welcomebackhrs'],1,Buzzer
32,tariqbinziyadh,#BlokirBangsatBangsa,0,[],[],#WelcomeBackHRS,[],0,0,https://twitter.com/tariqbinziyadh/status/1326135231993114624,https://twitter.com/AsFairus/status/1326034926345445376,0,2020-11-10 00:00:00,19:10:52,['welcomebackhrs'],1,Buzzer
33,julsdono,Demi Kedaulatan Rakyat,1,[],[],Barokallah  #AhlanWaSahlanIBHRS  #WelcomeHomeHRS  #WelcomeBackHRS,[],0,0,https://twitter.com/Julsdono/status/1326131435967668224,https://twitter.com/zarazettirazr/status/1326111307012042753,0,2020-11-10 00:00:00,18:55:47,"['ahlanwasahlanibhrs', 'welcomehomehrs', 'welcomebackhrs']",3,Buzzer
34,nkrindonesia79,PatriotNKRI,7,[],[],#WelcomeBackIBHRS  #WelcomeBackHRS  #WelcomeHomeHRS  #AhlanWaSahlanIBHRS,[],0,2,https://twitter.com/NKRIndonesia79/status/1326126204777242624,https://twitter.com/detikcom/status/1326058424812101632,0,2020-11-10 00:00:00,18:35:00,"['welcomebackibhrs', 'welcomebackhrs', 'welcomehomehrs', 'ahlanwasahlanibhrs']",4,Buzzer
35,leswita1,Leswita,0,[],[],@msaid_didu Stuju sekali pak #WelcomeBackIBHRS  #WelcomeBackHRS,[],0,1,https://twitter.com/Leswita1/status/1326124914047250432,,0,2020-11-10 00:00:00,18:29:52,"['welcomebackibhrs', 'welcomebackhrs']",2,Buzzer
36,neoamzah,Amzah,1,[],[],Sudah pakai Sorban hijau..  #WelcomeBackHRS  https://t.co/8QWiOiulys,['https://pbs.twimg.com/media/EmdW5N1VMAE5WKL.jpg'],0,0,https://twitter.com/NeoAmzah/status/1326124160578322433,,1,2020-11-10 00:00:00,18:26:52,['welcomebackhrs'],1,Buzzer
37,achmad_kent,KIPPALOOP,1,[],[],#WelcomeBackIBHRS  #WelcomeHomeHRS  #WelcomeBackHRS  #SelamatDatangHabibana,[],0,0,https://twitter.com/achmad_kent/status/1326120329991778305,https://twitter.com/MaspiyuO/status/1326082336891400194,0,2020-11-10 00:00:00,18:11:39,"['welcomebackibhrs', 'welcomehomehrs', 'welcomebackhrs', 'selamatdatanghabibana']",4,Buzzer
38,achmad_kent,KIPPALOOP,0,[],[],#WelcomeBackIBHRS  #WelcomeHomeHRS  #WelcomeBackHRS  #SelamatDatangHabibana,[],0,0,https://twitter.com/achmad_kent/status/1326118577406013440,https://twitter.com/GeiszChalifah/status/1326081519354404864,0,2020-11-10 00:00:00,18:04:41,"['welcomebackibhrs', 'welcomehomehrs', 'welcomebackhrs', 'selamatdatanghabibana']",4,Buzzer
39,tyas431,Tyas43,0,[],[],@DukeCondet #WelcomeBackHRS,[],0,0,https://twitter.com/Tyas431/status/1326117123786076160,,0,2020-11-10 00:00:00,17:58:55,['welcomebackhrs'],1,Buzzer
40,ummihilna,Eti Rusmiati,0,[],[],#WelcomeHomeHRS  #WelcomeBackHRS,[],0,0,https://twitter.com/ummihilna/status/1326116741647228929,,0,2020-11-10 00:00:00,17:57:23,"['welcomehomehrs', 'welcomebackhrs']",2,Buzzer
41,am_ilham15,ILham Fauzi,2,[],[],"Selamat Hari Pahlawan, dan selamat datang kembali Habib Rizieq Syihab 😇😇😇 #WelcomeBackHRS #WelcomeHomeHRS #10november #habibrizieqsyihab",[],0,0,https://twitter.com/am_ilham15/status/1326116659732516864,,0,2020-11-10 00:00:00,17:57:04,"['welcomebackhrs', 'welcomehomehrs', '10november', 'habibrizieqsyihab']",4,Buzzer
42,arsham_habib,Abdul Halim Ali Almahdaly,3,[],[],اللهم صلى على سيدنا محمد وعلى آله الطيبين الطاهرين #WelcomeHomeHRS  #WelcomeBackHRS,[],0,2,https://twitter.com/ARSHAM_HABIB/status/1326115219311980544,https://twitter.com/ResttyCayah/status/1326109367784017921,0,2020-11-10 00:00:00,17:51:20,"['welcomehomehrs', 'welcomebackhrs']",2,Buzzer
43,milaladiest,mila khairunnisa,0,[],[],Ada yang panas panas panas #AhlanWaSahlanIBHRS  #WelcomeHomeHRS  #WelcomeBackHRS,[],0,0,https://twitter.com/milaladiest/status/1326114500622258176,https://twitter.com/fadlizon/status/1326113558401216512,0,2020-11-10 00:00:00,17:48:29,"['ahlanwasahlanibhrs', 'welcomehomehrs', 'welcomebackhrs']",3,Buzzer
44,arsham_habib,Abdul Halim Ali Almahdaly,0,[],[],اللهم صلى على سيدنا محمد وعلى آله الطيبين الطاهرين #WelcomeHomeHRS  #WelcomeBackHRS,[],0,0,https://twitter.com/ARSHAM_HABIB/status/1326113454701178882,https://twitter.com/BQtong/status/1326039401512644620,0,2020-11-10 00:00:00,17:44:20,"['welcomehomehrs', 'welcomebackhrs']",2,Buzzer
45,jualann_online,ORTEGA Online,0,[],[],#WelcomeBackHRS  Cebong..urus bus ini...,[],0,0,https://twitter.com/Jualann_Online/status/1326112754424426504,https://twitter.com/bintangku206/status/1326080556233191425,0,2020-11-10 00:00:00,17:41:33,['welcomebackhrs'],1,Buzzer
46,jualann_online,ORTEGA Online,0,[],[],#WelcomeBackHRS,[],0,0,https://twitter.com/Jualann_Online/status/1326112506729779201,https://twitter.com/DrTaufan1/status/1326031021142241280,0,2020-11-10 00:00:00,17:40:34,['welcomebackhrs'],1,Buzzer
47,jualann_online,ORTEGA Online,0,[],[],#WelcomeBackHRS,[],0,0,https://twitter.com/Jualann_Online/status/1326112430242422785,https://twitter.com/bintangku206/status/1326068355892039682,0,2020-11-10 00:00:00,17:40:16,['welcomebackhrs'],1,Buzzer
48,g4lk3nku_5,KUS21 🇮🇩🖤🇩🇪,1,[],[],@Darkah_Back @Argo33Susanto Ahlan Wa Sahlan yaa Habibina  #WelcomeBackHRS,[],0,0,https://twitter.com/G4lK3nKu_5/status/1326112319949033474,,0,2020-11-10 00:00:00,17:39:49,['welcomebackhrs'],1,Buzzer
49,jualann_online,ORTEGA Online,0,[],[],#WelcomeBackHRS,[],0,0,https://twitter.com/Jualann_Online/status/1326112254199128065,https://twitter.com/ResttyCayah/status/1326008029880315904,0,2020-11-10 00:00:00,17:39:34,['welcomebackhrs'],1,Buzzer
50,ficar74,Ficar,0,[],[],@_KingPurwa #WelcomeBackHRS  #WelcomeHomeHRS,[],0,0,https://twitter.com/ficar74/status/1326111858479165440,,0,2020-11-10 00:00:00,17:37:59,"['welcomebackhrs', 'welcomehomehrs']",2,Buzzer
51,nazroel8,Nasrul Al Batawi,0,[],[],#WelcomeBackHRS #WelcomeHomeIBHRS,[],0,0,https://twitter.com/nazroel8/status/1326111762358300672,https://twitter.com/LisaAmartatara3/status/1325957724413198337,0,2020-11-10 00:00:00,17:37:36,"['welcomebackhrs', 'welcomehomeibhrs']",2,Buzzer
52,isulaima,iMan,1,[],[],Merinding euy  #WelcomeBackHRS,[],0,0,https://twitter.com/isulaima/status/1326111653646147585,https://twitter.com/GeiszChalifah/status/1326081519354404864,0,2020-11-10 00:00:00,17:37:10,['welcomebackhrs'],1,Buzzer
53,arsham_habib,Abdul Halim Ali Almahdaly,1,[],[],@arwidodo اللهم صلى على سيدنا محمد وعلى آله الطيبين الطاهرين #WelcomeHomeHRS  #WelcomeBackHRS,[],1,0,https://twitter.com/ARSHAM_HABIB/status/1326110909375213568,,0,2020-11-10 00:00:00,17:34:13,"['welcomehomehrs', 'welcomebackhrs']",2,Buzzer
54,nazroel8,Nasrul Al Batawi,0,[],[],#WelcomeHomeHRS #WelcomeHomeIBHRS #WelcomeBackHRS,[],0,0,https://twitter.com/nazroel8/status/1326110814181396482,https://twitter.com/hnurwahid/status/1326005693225160704,0,2020-11-10 00:00:00,17:33:50,"['welcomehomehrs', 'welcomehomeibhrs', 'welcomebackhrs']",3,Buzzer
55,billah163,Ro__nDoll,1,[],[],Kami catat..  #WelcomeBackHRS,[],0,0,https://twitter.com/Billah163/status/1326110665723973635,https://twitter.com/Si__Bee/status/1326100185525624834,0,2020-11-10 00:00:00,17:33:15,['welcomebackhrs'],1,Buzzer
56,hsbmargana,Hsbmargana,1,[],[],Selamat mlam #WelcomeBackHRS,[],0,0,https://twitter.com/hsbmargana/status/1326110600213065728,,0,2020-11-10 00:00:00,17:32:59,['welcomebackhrs'],1,Buzzer
57,farlem,clayton senye,0,[],[],@Dennysiregar7 I love habib Rizieq.... #WelcomeHomeHRS  #WelcomeHomeHRS  #WelcomeHomeHRS #WelcomeHomeIBHRS #WelcomeHomeHRS #WelcomeHomeHRS #WelcomeHomeHRS #WelcomeHomeIBHRS #WelcomeHomeIBHRS #WelcomeHomeHRS #WelcomeHomeIBHRS #WelcomeBackHRS #WelcomeHomeIBHRS #WelcomeHomeIBHRS  Ape lo...ape lo.,[],0,0,https://twitter.com/FArlem/status/1326110410068516865,,0,2020-11-10 00:00:00,17:32:14,"['welcomehomehrs', 'welcomehomehrs', 'welcomehomehrs', 'welcomehomeibhrs', 'welcomehomehrs', 'welcomehomehrs', 'welcomehomehrs', 'welcomehomeibhrs', 'welcomehomeibhrs', 'welcomehomehrs', 'welcomehomeibhrs', 'welcomebackhrs', 'welcomehomeibhrs', 'welcomehomeibhrs']",14,Buzzer
58,jhon_wick1,partai sontoloyo indonesia,0,[],[],@_KingPurwa @demoCRAZY_id Lanjut ... #WelcomeBackHRS  #WelcomeBackHRS,[],0,0,https://twitter.com/Jhon_wick1/status/1326109790938955777,,0,2020-11-10 00:00:00,17:29:46,"['welcomebackhrs', 'welcomebackhrs']",2,Buzzer
59,walialbanjari,WALI ALBANJARI,0,[],[],@Aiek_Channel Wa ha ha #WelcomeBackHRS  https://t.co/NBSLhFtwlx,[],0,0,https://twitter.com/WaliAlbanjari/status/1326109612949479424,,1,2020-11-10 00:00:00,17:29:04,['welcomebackhrs'],1,Buzzer
60,abangijoo,Pisang,0,[],[],@Bambanghariyan @zarazettirazr #WelcomeHomeHRS  #WelcomeBackHRS,[],0,0,https://twitter.com/abangijoo/status/1326109567902572544,,0,2020-11-10 00:00:00,17:28:53,"['welcomehomehrs', 'welcomebackhrs']",2,Buzzer
61,luckybabyface,Dianlukman89,0,[],[],"Ahlan wa Sahlan ya habibana,,,  #AhlanWaSahlanIBHRS  #WelcomeBackHRS",[],0,0,https://twitter.com/LuckyBabyface/status/1326109279330316288,https://twitter.com/jogokariyan/status/1326070612280844288,0,2020-11-10 00:00:00,17:27:44,"['ahlanwasahlanibhrs', 'welcomebackhrs']",2,Buzzer
62,thalibans,A.S.U,0,[],[],Nah loh 🤣🤣🤣 #WelcomeBackHRS  #WelcomeHomeHRS,[],0,0,https://twitter.com/Thalibans/status/1326109088204218368,https://twitter.com/fadlizon/status/1326106696222081024,0,2020-11-10 00:00:00,17:26:59,"['welcomebackhrs', 'welcomehomehrs']",2,Buzzer
63,akbarchef,#orang_merdeka,0,[],[],@zarazettirazr Bismillah... SETUJU !!!!!  #WelcomeBackHRS  #AhlanWaSahlanIBHRS,[],0,0,https://twitter.com/Akbarchef/status/1326109050770137088,,0,2020-11-10 00:00:00,17:26:50,"['welcomebackhrs', 'ahlanwasahlanibhrs']",2,Buzzer
64,junaidinlatif,Junaidin Latif,0,[],[],@elbanan2001 Allahuakbar Allahuakbar Allahuakbar  #WelcomeBackHRS  #WelcomeBackHRS,[],0,0,https://twitter.com/JunaidinLatif/status/1326108898726608896,,0,2020-11-10 00:00:00,17:26:14,"['welcomebackhrs', 'welcomebackhrs']",2,Buzzer
65,emi_lov80,#AntiToGoG,1,[],[],Siap ....!!! #WelcomeBackHRS,[],1,0,https://twitter.com/Emi_lov80/status/1326108839830147072,https://twitter.com/kebabturkey_/status/1325787607662407680,0,2020-11-10 00:00:00,17:25:59,['welcomebackhrs'],1,Buzzer
66,aamamelia15,aam amelia,0,[],[],#WelcomeBackHRS,[],0,0,https://twitter.com/aamamelia15/status/1326108646263058432,https://twitter.com/rmol_id/status/1326102674803023873,0,2020-11-10 00:00:00,17:25:13,['welcomebackhrs'],1,Buzzer
67,tuanmahmud2,Bebek Milenia,1,[],[],@zarazettirazr Setuju! #WelcomeBackHRS,[],0,0,https://twitter.com/TuanMahmud2/status/1326108547327827969,,0,2020-11-10 00:00:00,17:24:50,['welcomebackhrs'],1,Buzzer
68,_go_ne_,Gone,0,[],[],@riad_taufik @DEQLZ1012 @ustadtengkuzul Si cebong mulai aktif ya bunn  #WelcomeBackIBHRS  #WelcomeBackHRS,[],0,0,https://twitter.com/_go_ne_/status/1326108142497722368,,0,2020-11-10 00:00:00,17:23:13,"['welcomebackibhrs', 'welcomebackhrs']",2,Buzzer
69,annauvalkholis,Fatih Annauval,0,[],[],Selamat Datang wahai yg di Rindukan.   #WelcomeBackHRS  https://t.co/4OgaFlLGkW,[],0,0,https://twitter.com/AnnauvalKholis/status/1326107675466194944,,1,2020-11-10 00:00:00,17:21:22,['welcomebackhrs'],1,Buzzer
70,dincedonk,EmansiSAPI,0,[],[],#WelcomeHomeHRS #WelcomeBackHRS,[],0,0,https://twitter.com/dincedonk/status/1326107034626924544,https://twitter.com/okezonenews/status/1326106072835350529,0,2020-11-10 00:00:00,17:18:49,"['welcomehomehrs', 'welcomebackhrs']",2,Buzzer
71,dincedonk,EmansiSAPI,0,[],[],Sudah rugi apa dari #WelcomeHomeHRS #WelcomeBackHRS,[],0,0,https://twitter.com/dincedonk/status/1326106574088069121,,0,2020-11-10 00:00:00,17:16:59,"['welcomehomehrs', 'welcomebackhrs']",2,Buzzer
72,oliviatanti,Olivia Rahadi,0,[],[],@_KingPurwa #WelcomeBackHRS,[],0,0,https://twitter.com/oliviatanti/status/1326106535429222401,,0,2020-11-10 00:00:00,17:16:50,['welcomebackhrs'],1,Buzzer
73,fadhlifahrizal,Fahrizal Fadhli,0,[],[],Ahlan wa sahlan ya habibana  #WelcomeBackHRS  https://t.co/daVZm1NZPk,[],0,0,https://twitter.com/FadhliFahrizal/status/1326106348879187968,,1,2020-11-10 00:00:00,17:16:06,['welcomebackhrs'],1,Buzzer
74,eman97731071,Ariel #CatLove,3,[],[],Hanya 1 orang hamba Allah #WelcomeBackHRS  #AhlanWaSahlanIBHRS  https://t.co/9Wvzsf7H7F,['https://pbs.twimg.com/media/EmdGWXwU8AIagbY.jpg'],0,2,https://twitter.com/Eman97731071/status/1326105974969528320,,1,2020-11-10 00:00:00,17:14:36,"['welcomebackhrs', 'ahlanwasahlanibhrs']",2,Buzzer
75,abugoso96701844,Abu Gosok,0,[],[],@AnakKolong_ @mohmahfudmd @DivHumas_Polri Alhamdulillah #WelcomeBackHRS  #WelcomeBackHRS  #WelcomeBackHRS  #WelcomeBackHRS  #WelcomeBackHRS  https://t.co/TpKpR9Pp9O,['https://pbs.twimg.com/media/EmdGFjkU0AA8-BS.jpg'],0,0,https://twitter.com/AbuGoso96701844/status/1326105679258558464,,1,2020-11-10 00:00:00,17:13:26,"['welcomebackhrs', 'welcomebackhrs', 'welcomebackhrs', 'welcomebackhrs', 'welcomebackhrs']",5,Buzzer
76,yanachuleta,Suryana90,0,[],[],#WelcomeBackHRS yes,[],0,0,https://twitter.com/yanachuleta/status/1326105343907094529,,0,2020-11-10 00:00:00,17:12:06,['welcomebackhrs'],1,Buzzer
77,tyas431,Tyas43,1,[],[],@marlina_idha #WelcomeBackHRS,[],0,0,https://twitter.com/Tyas431/status/1326105033100812288,,0,2020-11-10 00:00:00,17:10:52,['welcomebackhrs'],1,Buzzer
78,bintangpari23,🇮🇩🇯🇵عائشة sanapanda,0,[],[],Alhamdulillah... Allahu Akbar✨ おかえりなさい🥰🙏 #WelcomeBackHRS,[],0,0,https://twitter.com/bintangpari23/status/1326104740996943872,https://twitter.com/detikcom/status/1326015507066216448,0,2020-11-10 00:00:00,17:09:42,['welcomebackhrs'],1,Buzzer
79,abugoso96701844,Abu Gosok,0,[],[],@eko_kuntadhi Kereeeeen.... Alhamdulillah habib Rizieq Shihab semakin di cintai #WelcomeBackHRS  #WelcomeBackHRS  #WelcomeBackHRS  https://t.co/0PMUZbVqKs,['https://pbs.twimg.com/media/EmdFD2WU4AIoTUX.jpg'],0,0,https://twitter.com/AbuGoso96701844/status/1326104550395187205,,1,2020-11-10 00:00:00,17:08:57,"['welcomebackhrs', 'welcomebackhrs', 'welcomebackhrs']",3,Buzzer
